DATE,ACCLASS,INJURY,ACCNUM
2006/01/01,Non-Fatal Injury,Major,2
2006/01/01,Non-Fatal Injury,Minor,7
2006/01/01,Non-Fatal Injury,None,2
2006/01/02,Non-Fatal Injury,Major,1
2006/01/02,Non-Fatal Injury,None,1
2006/01/04,Non-Fatal Injury,Major,1
2006/01/04,Non-Fatal Injury,None,1
2006/01/06,Non-Fatal Injury,Major,1
2006/01/06,Non-Fatal Injury,None,1
2006/01/07,Fatal,Fatal,1
2006/01/07,Fatal,Major,1
2006/01/08,Fatal,Fatal,1
2006/01/08,Fatal,None,4
2006/01/08,Non-Fatal Injury,Major,1
2006/01/08,Non-Fatal Injury,Minimal,1
2006/01/09,Fatal,Fatal,1
2006/01/09,Fatal,None,1
2006/01/09,Non-Fatal Injury,Major,1
2006/01/09,Non-Fatal Injury,None,1
2006/01/10,Non-Fatal Injury,Major,1
2006/01/10,Non-Fatal Injury,Minor,1
2006/01/11,Fatal,Fatal,1
2006/01/11,Fatal,Major,1
2006/01/11,Fatal,Minimal,2
2006/01/14,Non-Fatal Injury,Major,2
2006/01/14,Non-Fatal Injury,None,2
2006/01/15,Non-Fatal Injury,Major,1
2006/01/15,Non-Fatal Injury,None,1
2006/01/17,Non-Fatal Injury,Major,3
2006/01/17,Non-Fatal Injury,None,4
2006/01/21,Fatal,Fatal,1
2006/01/21,Fatal,Major,1
2006/01/21,Fatal,None,1
2006/01/22,Non-Fatal Injury,Major,2
2006/01/22,Non-Fatal Injury,None,2
2006/01/24,Fatal,Fatal,3
2006/01/24,Fatal,Major,1
2006/01/24,Fatal,Minimal,2
2006/01/24,Fatal,None,4
2006/01/27,Non-Fatal Injury,Major,2
2006/01/27,Non-Fatal Injury,Minor,1
2006/01/27,Non-Fatal Injury,None,3
2006/01/29,Fatal,Fatal,1
2006/01/29,Fatal,None,1
2006/01/29,Non-Fatal Injury,Major,1
2006/01/29,Non-Fatal Injury,None,1
2006/02/02,Non-Fatal Injury,Major,2
2006/02/02,Non-Fatal Injury,None,2
2006/02/03,Non-Fatal Injury,Major,2
2006/02/03,Non-Fatal Injury,None,2
2006/02/07,Non-Fatal Injury,Major,1
2006/02/07,Non-Fatal Injury,None,1
2006/02/08,Non-Fatal Injury,Major,2
2006/02/08,Non-Fatal Injury,None,2
2006/02/11,Non-Fatal Injury,Major,1
2006/02/11,Non-Fatal Injury,None,1
2006/02/12,Non-Fatal Injury,Major,2
2006/02/12,Non-Fatal Injury,Minimal,1
2006/02/12,Non-Fatal Injury,Minor,1
2006/02/12,Non-Fatal Injury,None,8
2006/02/13,Non-Fatal Injury,Major,1
2006/02/13,Non-Fatal Injury,None,2
2006/02/14,Non-Fatal Injury,Major,2
2006/02/14,Non-Fatal Injury,Minor,2
2006/02/14,Non-Fatal Injury,None,2
2006/02/15,Fatal,Fatal,1
2006/02/15,Fatal,None,1
2006/02/16,Non-Fatal Injury,Major,2
2006/02/16,Non-Fatal Injury,None,2
2006/02/19,Non-Fatal Injury,Major,1
2006/02/19,Non-Fatal Injury,None,1
2006/02/20,Fatal,Fatal,1
